country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
France,29M,29.1M,29.2M,29.3M,29.4M,29.5M,29.7M,29.8M,29.9M,30M,30.1M,30.2M,30.3M,30.4M,30.6M,30.7M,30.8M,30.9M,31M,31.2M,31.3M,31.5M,31.7M,31.9M,32.1M,32.3M,32.5M,32.7M,32.9M,33.1M,33.3M,33.4M,33.6M,33.8M,33.9M,34.1M,34.3M,34.4M,34.6M,34.7M,34.9M,35M,35.2M,35.3M,35.5M,35.6M,35.8M,35.9M,36.1M,36.2M,36.3M,36.4M,36.5M,36.6M,36.7M,36.8M,36.9M,36.9M,37M,37.1M,37.2M,37.3M,37.4M,37.5M,37.6M,37.7M,37.8M,37.9M,38M,38.1M,38.2M,38.3M,38.3M,38.4M,38.4M,38.5M,38.5M,38.6M,38.6M,38.7M,38.7M,38.8M,38.9M,39M,39M,39.1M,39.2M,39.3M,39.4M,39.5M,39.5M,39.6M,39.6M,39.7M,39.7M,39.8M,39.8M,39.9M,39.9M,40M,40M,40.1M,40.1M,40.2M,40.2M,40.3M,40.3M,40.4M,40.4M,40.4M,40.3M,40.2M,40M,39.8M,39.6M,39.3M,39.1M,38.9M,38.7M,38.6M,38.5M,38.6M,38.7M,39M,39.3M,39.5M,39.8M,40M,40.3M,40.5M,40.6M,40.7M,40.7M,40.6M,40.6M,40.5M,40.4M,40.4M,40.3M,40.3M,40.3M,40.4M,40.5M,40.6M,40.8M,40.9M,41.1M,41.2M,41.4M,41.6M,41.8M,42M,42.3M,42.7M,43M,43.4M,43.8M,44.2M,44.7M,45.1M,45.7M,46.3M,46.9M,47.6M,48.2M,48.7M,49.2M,49.7M,50M,50.4M,50.8M,51.2M,51.6M,52M,52.4M,52.7M,53M,53.2M,53.4M,53.6M,53.9M,54.1M,54.4M,54.7M,55M,55.3M,55.5M,55.8M,56.1M,56.4M,56.7M,56.9M,57.1M,57.4M,57.6M,57.8M,58M,58.2M,58.4M,58.7M,59M,59.4M,59.8M,60.3M,60.7M,61.1M,61.5M,61.9M,62.2M,62.5M,62.9M,63.2M,63.6M,63.9M,64.2M,64.5M,64.7M,64.8M,65M,65.1M,65.3M,65.4M,65.6M,65.7M,65.9M,66.1M,66.2M,66.3M,66.5M,66.6M,66.7M,66.8M,66.9M,67M,67.1M,67.2M,67.3M,67.4M,67.5M,67.5M,67.6M,67.6M,67.6M,67.7M,67.7M,67.7M,67.7M,67.7M,67.6M,67.6M,67.6M,67.6M,67.5M,67.5M,67.4M,67.4M,67.3M,67.3M,67.2M,67.1M,67.1M,67M,67M,66.9M,66.9M,66.8M,66.8M,66.7M,66.7M,66.6M,66.6M,66.6M,66.5M,66.5M,66.5M,66.4M,66.4M,66.4M,66.4M,66.3M,66.3M,66.3M,66.2M,66.2M,66.2M,66.1M,66.1M,66.1M,66M,66M,65.9M,65.9M,65.9M,65.8M,65.8M,65.7M,65.7M,65.6M,65.6M,65.6M,65.5M
Belgium,3.25M,3.26M,3.27M,3.28M,3.29M,3.3M,3.3M,3.31M,3.32M,3.33M,3.34M,3.35M,3.36M,3.37M,3.38M,3.39M,3.4M,3.41M,3.42M,3.43M,3.45M,3.47M,3.5M,3.53M,3.56M,3.59M,3.62M,3.65M,3.68M,3.72M,3.75M,3.78M,3.81M,3.85M,3.88M,3.91M,3.94M,3.98M,4.01M,4.05M,4.08M,4.12M,4.15M,4.19M,4.22M,4.26M,4.3M,4.34M,4.37M,4.41M,4.44M,4.48M,4.51M,4.53M,4.56M,4.59M,4.62M,4.65M,4.68M,4.71M,4.74M,4.77M,4.81M,4.84M,4.88M,4.91M,4.95M,4.98M,5.02M,5.06M,5.1M,5.14M,5.18M,5.22M,5.27M,5.31M,5.36M,5.4M,5.45M,5.49M,5.54M,5.59M,5.64M,5.7M,5.75M,5.81M,5.86M,5.92M,5.98M,6.03M,6.09M,6.15M,6.21M,6.27M,6.33M,6.39M,6.46M,6.52M,6.58M,6.65M,6.72M,6.79M,6.86M,6.94M,7.01M,7.09M,7.17M,7.25M,7.33M,7.39M,7.44M,7.48M,7.5M,7.5M,7.51M,7.51M,7.52M,7.53M,7.53M,7.55M,7.57M,7.6M,7.64M,7.7M,7.75M,7.8M,7.85M,7.9M,7.96M,8.01M,8.05M,8.09M,8.12M,8.14M,8.17M,8.2M,8.23M,8.25M,8.28M,8.31M,8.34M,8.36M,8.39M,8.42M,8.45M,8.48M,8.51M,8.54M,8.57M,8.6M,8.64M,8.68M,8.73M,8.78M,8.83M,8.89M,8.94M,9M,9.05M,9.11M,9.17M,9.23M,9.28M,9.34M,9.39M,9.44M,9.49M,9.53M,9.57M,9.6M,9.63M,9.66M,9.69M,9.72M,9.75M,9.77M,9.79M,9.82M,9.84M,9.85M,9.87M,9.88M,9.89M,9.9M,9.91M,9.92M,9.93M,9.94M,9.96M,9.98M,10M,10M,10.1M,10.1M,10.2M,10.2M,10.2M,10.2M,10.2M,10.3M,10.3M,10.3M,10.4M,10.4M,10.5M,10.5M,10.6M,10.7M,10.8M,10.9M,10.9M,11M,11.1M,11.2M,11.2M,11.3M,11.4M,11.4M,11.5M,11.5M,11.6M,11.6M,11.7M,11.7M,11.7M,11.8M,11.8M,11.8M,11.8M,11.9M,11.9M,11.9M,12M,12M,12M,12M,12M,12.1M,12.1M,12.1M,12.1M,12.1M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.2M,12.3M,12.3M,12.3M,12.3M,12.3M,12.3M,12.3M,12.3M,12.3M,12.3M,12.3M,12.3M,12.3M,12.3M,12.3M,12.3M,12.4M,12.4M,12.4M,12.4M,12.4M,12.4M,12.4M,12.4M,12.4M,12.4M,12.5M,12.5M,12.5M,12.5M,12.5M
